year,resid
1977-01-01,-0.052695590681708045
1978-01-01,-0.11326233343523108
1979-01-01,-0.07758850200159546
1980-01-01,0.08047358621053023
1981-01-01,0.16307701462454455
1982-01-01,-0.03876412190603964
1983-01-01,-0.11429691225996104
1984-01-01,-0.08623855143949609
1985-01-01,0.07703094660889877
1986-01-01,0.1939703297291714
1987-01-01,0.08716366402783596
1988-01-01,-0.039428411243651665
1989-01-01,-0.09260881074078313
1990-01-01,-0.19043453198984372
1991-01-01,-0.3805066826146931
1992-01-01,0.13328655264315142
1993-01-01,0.3555223932403784
1994-01-01,0.17195835447631758
1995-01-01,-0.1348196880361166
1996-01-01,0.07568050200757306
1997-01-01,-0.13584286539296725
1998-01-01,-0.23901297556674606
1999-01-01,0.10766347875254255
2000-01-01,0.14964790093767974
2001-01-01,-0.058474452154501644
2002-01-01,0.22524158314075415
2003-01-01,0.12217772751770849
2004-01-01,-0.3537467706720608
2005-01-01,-0.0201993678026708
2006-01-01,-0.07231912239489705
2007-01-01,-0.09126748466805146
2008-01-01,0.2515269449222365
2009-01-01,0.17937966487437979
2010-01-01,-0.13763890686835484
2011-01-01,0.07271246455545388
2012-01-01,-0.13381881858851669
2013-01-01,-0.22992351460027516
2014-01-01,0.1444840553251539
2015-01-01,0.16924297951433565
